GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.bifunction.impl,BiFunctionTesterImpl,0,111,0,4,0,14,0,5,0,3
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.collector,CollectorTester.CollectorTesterDSL,81,101,0,2,5,21,5,11,5,10
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.collector,CollectorTester,5,34,0,0,1,11,1,6,1,6
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.helpers,StreamParametersMapFunction,60,346,24,42,18,82,24,30,1,20
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.pattern,PatternTester,0,47,0,0,0,14,0,8,0,8
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.pattern,PatternTester.PatternTesterDSL,5,123,1,1,1,26,1,9,0,9
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.comparator,ComparatorTester.ComparatorTesterDSL,141,164,0,4,9,31,7,18,7,16
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.comparator,ComparatorTester,0,42,0,0,0,14,0,7,0,7
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.pattern.impl,PatternTesterImpl,0,112,0,2,0,18,0,6,0,5
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.pattern.impl,MatcherTesterImpl,29,82,0,2,4,13,0,4,0,3
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.pattern.impl,MatcherTester,0,29,0,0,0,10,0,5,0,5
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.matchers,StringPatternMatcher,35,0,2,0,10,0,4,0,3,0
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.matchers,MatcherTester,0,30,0,0,0,9,0,6,0,6
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.matchers,ExceptionMessageMatcher,0,9,0,0,0,3,0,2,0,2
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.matchers,MatcherTester.new MatcherTesterDSL2() {...},0,18,0,0,0,3,0,3,0,3
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.matchers,MatcherTester.new MatcherTesterDSL1() {...},97,31,0,0,5,3,5,3,5,3
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.matchers,MatcherTester.new MatcherTesterDSL3() {...},0,18,0,0,0,3,0,3,0,3
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.matchers.optional,OptionalLongPresentMatcher,0,10,0,0,0,3,0,2,0,2
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.matchers.optional,OptionalDoublePresentMatcher,0,10,0,0,0,3,0,2,0,2
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.matchers.optional,OptionalIntMatcher,0,10,0,0,0,3,0,2,0,2
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.matchers.optional,OptionalMatcher,0,9,0,0,0,3,0,2,0,2
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.matchers.optional,OptionalIntPresentMatcher,0,10,0,0,0,3,0,2,0,2
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.matchers.optional,OptionalDoubleMatcher,0,10,0,0,0,3,0,2,0,2
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.matchers.optional,OptionalLongMatcher,0,10,0,0,0,3,0,2,0,2
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.matchers.optional,OptionalPresentMatcher,0,10,0,0,0,3,0,2,0,2
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.rules,TestContextRule,0,10,0,0,0,4,0,3,0,3
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.rules,ExternalResource,0,8,0,0,0,6,0,4,0,4
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.rules,TestListenerRule,67,16,0,0,19,7,7,3,7,3
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.rules,SystemStreamRule,38,6,0,0,5,1,5,1,5,1
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.rules,SystemPropertiesRule,0,101,0,6,0,19,0,10,0,7
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.rules,TestListenerRule.new TestListenerRule() {...},61,0,10,0,16,0,11,0,6,0
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.collector.impl,CollectorTesterImpl,0,180,0,16,0,38,0,18,0,10
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.comparator.impl,ComparatorTesterImpl,0,921,0,22,0,83,0,14,0,3
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.comparator.impl,SampleProvider,355,93,16,4,27,17,10,6,0,6
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.function.impl,SupplierEqualsToMatcher,6,32,0,2,2,10,1,6,1,5
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.function.impl,FunctionTesterImpl,0,94,0,4,0,12,0,5,0,3
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.report,ObjectFactory,74,0,0,0,15,0,12,0,12,0
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.report,Failure,9,15,0,0,3,7,3,4,3,4
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.report,Error,9,15,0,0,3,7,3,4,3,4
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.report,Property,17,0,0,0,7,0,5,0,5,0
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.report,Testsuite,59,53,0,2,25,21,17,14,17,13
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.report,Testsuites,3,53,0,2,1,21,1,14,1,13
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.report,Properties,14,0,2,0,4,0,3,0,2,0
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.report,Testcase,45,44,6,2,15,16,13,8,9,8
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.surefire,PowerUnitProviderScannerFilter,0,121,0,12,0,19,0,8,0,2
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.surefire,PowerUnitProvider,5,96,1,5,1,27,1,5,0,3
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.surefire,PowerUnitProviderListener,0,128,0,0,0,34,0,10,0,10
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.bifunction,BiFunctionTester.BiFunctionTesterDSL,0,149,0,2,0,31,0,18,0,17
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.bifunction,BiFunctionTester,0,46,0,0,0,14,0,7,0,7
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.processor,PowerUnitProcessor,373,0,28,0,91,0,20,0,6,0
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.matchers.impl,MatcherTesterImpl,0,453,1,35,0,65,1,26,0,9
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.matchers.impl,RejectImpl,0,15,0,0,0,6,0,3,0,3
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.matchers.impl,MatcherAssertionImpl,0,57,0,0,0,20,0,12,0,12
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.impl,AssertThatObjectImpl,20,223,3,23,1,41,3,16,0,6
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.impl,DefaultPowerUnitRunnerImpl,220,1192,12,68,39,307,13,111,3,81
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.impl,AssertThatStringImpl,0,7,0,0,0,2,0,1,0,1
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.impl,FailureImpl,3,15,1,3,1,6,2,2,1,1
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.impl,TestContextImpl,0,178,0,10,0,33,0,17,0,12
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.impl,DefaultPowerUnitRunnerImpl.new Statement() {...},5,41,0,0,1,10,1,2,1,2
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.impl,AssertThatIterableImpl,0,7,0,0,0,2,0,1,0,1
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.impl,DefaultPowerUnitRunnerImpl.DelegationTestResultListener,72,59,0,0,21,21,3,7,3,7
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.impl,DefaultTestResultListener,82,931,4,16,13,163,6,23,2,17
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.impl,AssertThatExceptionImpl,0,113,1,11,0,22,1,7,0,2
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.exception,InternalError,0,9,0,0,0,4,0,2,0,2
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.exception,AssumptionError,0,4,0,0,0,2,0,1,0,1
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.impl.validator,RuleValidator,0,70,0,8,0,10,0,5,0,1
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.impl.validator,ParameterProcessorValidator,201,0,16,0,39,0,10,0,2,0
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.impl.validator,TestValidator,0,69,0,8,0,11,0,5,0,1
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.impl.validator,IgnoreProcessorValidator,48,0,6,0,11,0,5,0,2,0
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.impl.validator,RuleProcessorValidator,188,0,16,0,32,0,9,0,1,0
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.impl.validator,ParametersValidator,0,98,0,14,0,18,0,8,0,1
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.impl.validator,TestProcessorValidator,104,0,10,0,19,0,7,0,2,0
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.impl.validator,TestDelegateProcessorValidator,90,0,10,0,17,0,6,0,1,0
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.impl.validator,ParameterValidator,0,56,0,6,0,11,0,4,0,1
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.impl.validator,ParametersProcessorValidator,217,0,22,0,38,0,12,0,1,0
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.impl.validator,TestDelegateValidator,39,13,3,3,6,4,3,1,0,1
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.rules.impl,NullOutputStream,6,0,0,0,4,0,4,0,4,0
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.rules.impl,SystemStreamRuleImpl,2,43,0,0,2,16,0,5,0,5
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.rules.impl,TemporaryFolderImpl.TemporaryFolderBuilderImpl,0,58,0,0,0,13,0,6,0,6
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.rules.impl,TemporaryFolderImpl,24,170,2,12,5,38,4,15,2,10
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.rules.impl,TemporaryFolderImpl.InitialFileEntryImpl,0,15,0,0,0,6,0,3,0,3
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.rules.impl,TemporaryFolderImpl.InitialFolderEntryImpl,0,45,0,0,0,14,0,7,0,7
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit,FileMatchers,44,47,0,0,8,10,8,9,8,9
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit,AssertThatObject,0,28,0,0,0,6,0,6,0,6
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit,ConverterMethod,32,15,0,2,7,5,6,3,6,2
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit,Statement.new Statement() {...},17,0,0,0,4,0,3,0,3,0
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit,Statement.new Statement() {...},19,23,0,0,4,6,1,2,1,2
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit,AssertThatIterable,0,30,0,0,0,6,0,6,0,6
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit,AssertThatString,12,15,0,0,2,3,2,3,2,3
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit,PowerUnitMainRunner,124,142,2,8,20,27,3,5,1,2
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit,Statement,17,56,0,0,3,18,2,6,2,6
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit,TestSuite.new TestSuite() {...},0,3,0,0,0,1,0,1,0,1
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit,Assert,64,149,0,0,7,20,10,23,10,23
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit,TestFrameworkSupport,12,12,0,0,4,4,4,4,4,4
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit,TestSuite,41,62,0,0,10,15,12,13,12,13
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit,HamcrestMatchers,287,50,0,0,115,19,84,17,84,17
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit,TestRule,5,64,0,0,0,16,0,15,0,15
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit,Matchers,10,133,0,0,2,17,2,17,2,17
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit,Assume,97,97,0,0,12,13,15,16,15,16
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.matchers.file,FileNameMatcher,0,9,0,0,0,3,0,2,0,2
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.matchers.file,FileCanExecuteMatcher,10,0,0,0,3,0,2,0,2,0
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.matchers.file,FileCanReadMatcher,10,0,0,0,3,0,2,0,2,0
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.matchers.file,FileIsDirectoryMatcher,0,10,0,0,0,3,0,2,0,2
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.matchers.file,FileExistsMatcher,0,10,0,0,0,3,0,2,0,2
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.matchers.file,FileIsAbsoluteMatcher,10,0,0,0,3,0,2,0,2,0
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.matchers.file,FileListMatcher,0,9,0,0,0,3,0,2,0,2
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.matchers.file,FileCanWriteMatcher,10,0,0,0,3,0,2,0,2,0
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.matchers.file,Path2FileMatcher,0,9,0,0,0,3,0,2,0,2
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.function,FunctionTester.FunctionTesterDSL,0,129,0,2,0,28,0,17,0,16
Powerunit - Java Testing framework for JDK 1.8,ch.powerunit.function,FunctionTester,0,39,0,0,0,12,0,6,0,6
